"Title","Description","Linking Code"
"Inkabet PE | Inkatonazo","Inkabet PE | Inkatonazo","https://record.inkabet.pe/_p1EHTRI5UEM-MHjwpVL7UmNd7ZgqdRLk/1/"
"SuperCasino NZ | Brand Protection","SuperCasino NZ | Brand Protection","https://record.rizk.com/_p1EHTRI5UEMyLM6tnSnRB2Nd7ZgqdRLk/1/"
"Betsafe Baltics LV/RU | Casino Welcome Offer","Betsafe Baltics LV/RU | Casino Welcome Offer","https://record.betssongroupaffiliates.com/_p1EHTRI5UEN8eHr7iRcZAGNd7ZgqdRLk/1/"
"Betsafe Baltics EE | Casino Welcome Offer","Betsafe Baltics EE | Casino Welcome Offer","https://record.betsafe.com/_p1EHTRI5UEPA3myKrYEnh2Nd7ZgqdRLk/1/"
"Betsafe Baltics LV/EN | Casino Welcome Offer","Betsafe Baltics LV/EN | Casino Welcome Offer","https://record.betsafe.com/_p1EHTRI5UEOOWOr5Ry9d9GNd7ZgqdRLk/1/"
"StarCasino IT | App","StarCasino IT | App","https://record.starcasino.it/_p1EHTRI5UEMkJ1pjjSkkwGNd7ZgqdRLk/1/"
"Rizk CA | Signup Page","Rizk CA | Signup Page","https://record.rizk.com/_p1EHTRI5UEPkASxiy40oD2Nd7ZgqdRLk/1/"
"Betsson CL | Casino Lobby","Betsson CL | Casino Lobby","https://record.betsn.info/_p1EHTRI5UENEJ-HXy0iU2mNd7ZgqdRLk/1/"
"Betsson CL | Registration Page","Betsson CL | Registration Page","https://record.betsn.info/_p1EHTRI5UEOvo6__MOVB-WNd7ZgqdRLk/1/"
"Betsson PE | Juegos Crash","Betsson PE | Juegos Crash","https://record.betsson.com/_p1EHTRI5UEPxJ6XLxafL6WNd7ZgqdRLk/1/"
"Betsson PE | Juegos Exclusivos","Betsson PE | Juegos Exclusivos","https://record.betsson.com/_p1EHTRI5UEP6sfSuG-glGmNd7ZgqdRLk/1/"
"RIZK EN/ROW | Casino Welcome Offer","RIZK EN/ROW | Casino Welcome Offer","https://record.rizk.com/_p1EHTRI5UEMBcfMsgzDe_WNd7ZgqdRLk/1/"
"Rizk NZ | Rizk Race","Rizk NZ | Rizk Race","https://record.rizk.com/_p1EHTRI5UEN4da2rGvAp12Nd7ZgqdRLk/1/"
"Rizk NZ | Wheel of Rizk","Rizk NZ | Wheel of Rizk","https://record.rizk.com/_p1EHTRI5UEOEN01lOn_11GNd7ZgqdRLk/1/"
"Rizk NZ | Casino Lobby","Rizk NZ | Casino Lobby","https://record.rizk.com/_p1EHTRI5UEM5U68NtmEszmNd7ZgqdRLk/1/"
"Betsson CL | Casino Welcome Offer","Betsson CL | Casino Welcome Offer","https://record.betsn.info/_p1EHTRI5UENPtUZe0a-NX2Nd7ZgqdRLk/1/"
"Rizk ROW | Wheel of Rizk","Rizk ROW | Wheel of Rizk","https://record.rizk.com/_p1EHTRI5UEPYf0LrzqUnOmNd7ZgqdRLk/1/"
"Rizk ROW | Casino Lobby","Rizk ROW | Casino Lobby","https://record.rizk.com/_p1EHTRI5UEMf8UMCkgp_pGNd7ZgqdRLk/1/"
"Inkabet PE | Ruleta Inkabet","Inkabet PE | Ruleta Inkabet","https://record.inkabet.pe/_p1EHTRI5UEOFUxHRsqjQL2Nd7ZgqdRLk/1/"
"Betsson IS | Casino Welcome Bonus","Betsson IS | Casino Welcome Bonus","https://record.betsson.com/_p1EHTRI5UEPkebc_IPI8tWNd7ZgqdRLk/1/"
"Betsson PE | Casino Lobby","Betsson PE | Casino Lobby","https://record.betsson.com/_p1EHTRI5UEPJSCsXx6AfwWNd7ZgqdRLk/1/"
"StarCasino IT | Registration Page","StarCasino IT | Registration Page","https://record.starcasino.it/_p1EHTRI5UENf6nXv-0oq5mNd7ZgqdRLk/1/"
"Betsson LATAM | Top 3 - Piggy Bank","Betsson LATAM | Top 3 - Piggy Bank","https://record.betsson.com/_p1EHTRI5UEMt_FTyVAWSGWNd7ZgqdRLk/1/"
"Betsson LATAM | Top 1 - First Person American roulette","Betsson LATAM | Top 1 - First Person American roulette","https://record.betsson.com/_p1EHTRI5UEPngqyJOFHJ_WNd7ZgqdRLk/1/"
"Inkabet PE | Casino lobby page","Inkabet PE | Casino lobby page","https://record.inkabet.pe/_p1EHTRI5UEM4wXYzsHHtsGNd7ZgqdRLk/1/"
"Inkabet PE | Casino Welcome Offer","Inkabet PE | Casino Welcome Offer","https://record.inkabet.pe/_p1EHTRI5UEO_Fwtr355KbGNd7ZgqdRLk/1/"
"Inkabet PE | Sportsbook Welcome Offer","Inkabet PE | Sportsbook Welcome Offer","https://record.inkabet.pe/_p1EHTRI5UEOZeUTRp6MYx2Nd7ZgqdRLk/1/"
"Betsson LATAM | Casino Lobby","Betsson LATAM | Casino Lobby","https://record.betsson.com/_p1EHTRI5UEMi26Fsr4FC0mNd7ZgqdRLk/1/"
"NordicBet SV | Casino Welcome Bonus","NordicBet SV | Casino Welcome Bonus","https://record.nordicbet.com/_p1EHTRI5UEPIUsd2cv5SdWNd7ZgqdRLk/1/"
"NordicBet EN | ROW | Casino Welcome Offer","NordicBet EN | ROW | Casino Welcome Offer","https://record.nordicbet.com/_p1EHTRI5UEPRvim4u9A_I2Nd7ZgqdRLk/1/"
"Betsson PE | Casino Welcome Offer","Betsson PE | Casino Welcome Offer","https://record.betsson.com/_p1EHTRI5UENWJv-piTzMMWNd7ZgqdRLk/1/"
"Betsson EN | Live Casino Home","Betsson EN | Live Casino Home","https://record.betsson.com/_p1EHTRI5UENmQewLZCKtvWNd7ZgqdRLk/1/"
"Betsson LATAM | Casino Welcome Offer","Betsson LATAM | Casino Welcome Offer","https://record.betsson.com/_p1EHTRI5UEPPjmj8zYpJR2Nd7ZgqdRLk/1/"
"Betsafe Baltics LV | Registration page","Betsafe Baltics LV | Registration page","https://record.betssongroupaffiliates.com/_p1EHTRI5UEP0eSuOMyVq0WNd7ZgqdRLk/1/"
