row,brand,countryCode,language,marketScope,intent,routeKind,title,description,trackingUrl,trackingHost,trackingToken,classification,source,productionEligible,routeSetupId
11,Betsson,SE,sv,COUNTRY,Casino Welcome Bonus,WELCOME_OFFER,Betsson SV | Casino Welcome Bonus,Betsson SV | Casino Welcome Bonus,https://record.betsson.com/_p1EHTRI5UEMK7p2EryfJhWNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEMK7p2EryfJhWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
12,Rizk,NZ,en,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Rizk NZ | Casino Welcome Offer,Rizk NZ | Casino Welcome Offer,https://record.rizk.com/_p1EHTRI5UEOt3wVmGnskgGNd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEOt3wVmGnskgGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
13,NordicBet,SE,sv,COUNTRY,Casino Lobby Page,LOBBY,NordicBet SV | Casino Lobby Page,NordicBet SV | Casino Lobby Page,https://record.nordicbet.com/_p1EHTRI5UENAotRMQxOCRGNd7ZgqdRLk/1/,record.nordicbet.com,_p1EHTRI5UENAotRMQxOCRGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
14,NordicBet,,en,ROW,Casino Lobby,LOBBY,NordicBet EN | Casino Lobby,NordicBet EN | Casino Lobby,https://record.nordicbet.com/_p1EHTRI5UEMgYOt9OP2f4GNd7ZgqdRLk/1/,record.nordicbet.com,_p1EHTRI5UEMgYOt9OP2f4GNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
15,Betsson,IS,is,COUNTRY,Casino Lobby,LOBBY,Betsson IS | Casino Lobby,Betsson IS | Casino Lobby,https://record.betsson.com/_p1EHTRI5UEPBYRLvwVx132Nd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPBYRLvwVx132Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
16,Betsson,,en,EN,Casino Welcome Bonus,WELCOME_OFFER,Betsson EN | Casino Welcome Bonus,Betsson EN | Casino Welcome Bonus,https://record.betsson.com/_p1EHTRI5UEMMGjCE5hF4R2Nd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEMMGjCE5hF4R2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
17,Betsson,,en,EN,Casino Scratch Lobby Page,LOBBY,Betsson EN | Casino Scratch Lobby Page,Betsson EN | Casino Scratch Lobby Page,https://record.betsson.com/_p1EHTRI5UEN9XumJRpw3zmNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEN9XumJRpw3zmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
18,Betsson,,en,EN,Casino Lobby,LOBBY,Betsson EN | Casino Lobby,Betsson EN | Casino Lobby,https://record.betsson.com/_p1EHTRI5UEPODTquaIJTcGNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPODTquaIJTcGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
19,Betsson,SE,sv,COUNTRY,Casino Lobby,LOBBY,Betsson SV | Casino Lobby,Betsson SV | Casino Lobby,https://record.betsson.com/_p1EHTRI5UEPuoI516vh3MmNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPuoI516vh3MmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
20,Betsafe Baltics,LV,lv,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Betsafe Baltics LV | Casino Welcome Offer,Betsafe Baltics LV | Casino Welcome Offer,https://record.betssongroupaffiliates.com/_p1EHTRI5UEOvnN-hgEuUDWNd7ZgqdRLk/1/,record.betssongroupaffiliates.com,_p1EHTRI5UEOvnN-hgEuUDWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
21,Betsson,CL,es,COUNTRY,El Proximo Crack De Chile,CONTENT,Betsson CL | El Proximo Crack De Chile,Betsson CL | El Proximo Crack De Chile,https://record.betsn.info/_p1EHTRI5UEObS_LUFq0-EmNd7ZgqdRLk/1/,record.betsn.info,_p1EHTRI5UEObS_LUFq0-EmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
22,Inkabet,PE,es,COUNTRY,Aviator,CONTENT,Inkabet PE | Aviator,Inkabet PE | Aviator,https://record.inkabet.pe/_p1EHTRI5UEOUIatiIZsvCWNd7ZgqdRLk/1/,record.inkabet.pe,_p1EHTRI5UEOUIatiIZsvCWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
23,Rizk,CA,en,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Rizk CA | Casino Welcome Offer,Rizk CA | Casino Welcome Offer,https://record.rizk.com/_p1EHTRI5UEOuZJblfm8f9WNd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEOuZJblfm8f9WNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
24,Betsson,SE,sv,COUNTRY,King Millions Blazing Bison Gold Blitz,CONTENT,Betsson SV | King Millions Blazing Bison Gold Blitz,Betsson SV | King Millions Blazing Bison Gold Blitz,https://record.betsson.com/_p1EHTRI5UENamr04qeOZPWNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UENamr04qeOZPWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
25,Betsson,CL,es,COUNTRY,Casino Tournament Lobby,LOBBY,Betsson CL | Casino Tournament Lobby,Betsson CL | Casino Tournament Lobby,https://record.betsn.info/_p1EHTRI5UEOmyPxQJetjxWNd7ZgqdRLk/1/,record.betsn.info,_p1EHTRI5UEOmyPxQJetjxWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
26,Betsafe Baltics,EE,en,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Betsafe Baltics EE/EN | Casino Welcome Offer,Betsafe Baltics EE/EN | Casino Welcome Offer,https://record.betsafe.com/_p1EHTRI5UEO9qZYV0E9vp2Nd7ZgqdRLk/1/,record.betsafe.com,_p1EHTRI5UEO9qZYV0E9vp2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
27,Inkabet,PE,es,COUNTRY,Inkatonazo,CONTENT,Inkabet PE | Inkatonazo,Inkabet PE | Inkatonazo,https://record.inkabet.pe/_p1EHTRI5UEM-MHjwpVL7UmNd7ZgqdRLk/1/,record.inkabet.pe,_p1EHTRI5UEM-MHjwpVL7UmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
28,SuperCasino,NZ,en,COUNTRY,Brand Protection,BRAND_PROTECTION,SuperCasino NZ | Brand Protection,SuperCasino NZ | Brand Protection,https://record.rizk.com/_p1EHTRI5UEMyLM6tnSnRB2Nd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEMyLM6tnSnRB2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
29,Betsafe Baltics,LV,ru,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Betsafe Baltics LV/RU | Casino Welcome Offer,Betsafe Baltics LV/RU | Casino Welcome Offer,https://record.betssongroupaffiliates.com/_p1EHTRI5UEN8eHr7iRcZAGNd7ZgqdRLk/1/,record.betssongroupaffiliates.com,_p1EHTRI5UEN8eHr7iRcZAGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
30,Betsafe Baltics,EE,et,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Betsafe Baltics EE | Casino Welcome Offer,Betsafe Baltics EE | Casino Welcome Offer,https://record.betsafe.com/_p1EHTRI5UEPA3myKrYEnh2Nd7ZgqdRLk/1/,record.betsafe.com,_p1EHTRI5UEPA3myKrYEnh2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
31,Betsafe Baltics,LV,en,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Betsafe Baltics LV/EN | Casino Welcome Offer,Betsafe Baltics LV/EN | Casino Welcome Offer,https://record.betsafe.com/_p1EHTRI5UEOOWOr5Ry9d9GNd7ZgqdRLk/1/,record.betsafe.com,_p1EHTRI5UEOOWOr5Ry9d9GNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
32,StarCasino,IT,it,COUNTRY,App,APP,StarCasino IT | App,StarCasino IT | App,https://record.starcasino.it/_p1EHTRI5UEMkJ1pjjSkkwGNd7ZgqdRLk/1/,record.starcasino.it,_p1EHTRI5UEMkJ1pjjSkkwGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
33,Rizk,CA,en,COUNTRY,Signup Page,REGISTRATION,Rizk CA | Signup Page,Rizk CA | Signup Page,https://record.rizk.com/_p1EHTRI5UEPkASxiy40oD2Nd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEPkASxiy40oD2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
34,Betsson,CL,es,COUNTRY,Casino Lobby,LOBBY,Betsson CL | Casino Lobby,Betsson CL | Casino Lobby,https://record.betsn.info/_p1EHTRI5UENEJ-HXy0iU2mNd7ZgqdRLk/1/,record.betsn.info,_p1EHTRI5UENEJ-HXy0iU2mNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
35,Betsson,CL,es,COUNTRY,Registration Page,REGISTRATION,Betsson CL | Registration Page,Betsson CL | Registration Page,https://record.betsn.info/_p1EHTRI5UEOvo6__MOVB-WNd7ZgqdRLk/1/,record.betsn.info,_p1EHTRI5UEOvo6__MOVB-WNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
36,Betsson,PE,es,COUNTRY,Juegos Crash,CONTENT,Betsson PE | Juegos Crash,Betsson PE | Juegos Crash,https://record.betsson.com/_p1EHTRI5UEPxJ6XLxafL6WNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPxJ6XLxafL6WNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
37,Betsson,PE,es,COUNTRY,Juegos Exclusivos,CONTENT,Betsson PE | Juegos Exclusivos,Betsson PE | Juegos Exclusivos,https://record.betsson.com/_p1EHTRI5UEP6sfSuG-glGmNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEP6sfSuG-glGmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
38,Rizk,,en,ROW,Casino Welcome Offer,WELCOME_OFFER,RIZK EN/ROW | Casino Welcome Offer,RIZK EN/ROW | Casino Welcome Offer,https://record.rizk.com/_p1EHTRI5UEMBcfMsgzDe_WNd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEMBcfMsgzDe_WNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
39,Rizk,NZ,en,COUNTRY,Rizk Race,CONTENT,Rizk NZ | Rizk Race,Rizk NZ | Rizk Race,https://record.rizk.com/_p1EHTRI5UEN4da2rGvAp12Nd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEN4da2rGvAp12Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
40,Rizk,NZ,en,COUNTRY,Wheel of Rizk,CONTENT,Rizk NZ | Wheel of Rizk,Rizk NZ | Wheel of Rizk,https://record.rizk.com/_p1EHTRI5UEOEN01lOn_11GNd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEOEN01lOn_11GNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
41,Rizk,NZ,en,COUNTRY,Casino Lobby,LOBBY,Rizk NZ | Casino Lobby,Rizk NZ | Casino Lobby,https://record.rizk.com/_p1EHTRI5UEM5U68NtmEszmNd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEM5U68NtmEszmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
42,Betsson,CL,es,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Betsson CL | Casino Welcome Offer,Betsson CL | Casino Welcome Offer,https://record.betsn.info/_p1EHTRI5UENPtUZe0a-NX2Nd7ZgqdRLk/1/,record.betsn.info,_p1EHTRI5UENPtUZe0a-NX2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
43,Rizk,,en,ROW,Wheel of Rizk,CONTENT,Rizk ROW | Wheel of Rizk,Rizk ROW | Wheel of Rizk,https://record.rizk.com/_p1EHTRI5UEPYf0LrzqUnOmNd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEPYf0LrzqUnOmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
44,Rizk,,en,ROW,Casino Lobby,LOBBY,Rizk ROW | Casino Lobby,Rizk ROW | Casino Lobby,https://record.rizk.com/_p1EHTRI5UEMf8UMCkgp_pGNd7ZgqdRLk/1/,record.rizk.com,_p1EHTRI5UEMf8UMCkgp_pGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
45,Inkabet,PE,es,COUNTRY,Ruleta Inkabet,CONTENT,Inkabet PE | Ruleta Inkabet,Inkabet PE | Ruleta Inkabet,https://record.inkabet.pe/_p1EHTRI5UEOFUxHRsqjQL2Nd7ZgqdRLk/1/,record.inkabet.pe,_p1EHTRI5UEOFUxHRsqjQL2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
46,Betsson,IS,is,COUNTRY,Casino Welcome Bonus,WELCOME_OFFER,Betsson IS | Casino Welcome Bonus,Betsson IS | Casino Welcome Bonus,https://record.betsson.com/_p1EHTRI5UEPkebc_IPI8tWNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPkebc_IPI8tWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
47,Betsson,PE,es,COUNTRY,Casino Lobby,LOBBY,Betsson PE | Casino Lobby,Betsson PE | Casino Lobby,https://record.betsson.com/_p1EHTRI5UEPJSCsXx6AfwWNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPJSCsXx6AfwWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
48,StarCasino,IT,it,COUNTRY,Registration Page,REGISTRATION,StarCasino IT | Registration Page,StarCasino IT | Registration Page,https://record.starcasino.it/_p1EHTRI5UENf6nXv-0oq5mNd7ZgqdRLk/1/,record.starcasino.it,_p1EHTRI5UENf6nXv-0oq5mNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
49,Betsson,,es,LATAM,Top 3 - Piggy Bank,CONTENT,Betsson LATAM | Top 3 - Piggy Bank,Betsson LATAM | Top 3 - Piggy Bank,https://record.betsson.com/_p1EHTRI5UEMt_FTyVAWSGWNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEMt_FTyVAWSGWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
50,Betsson,,es,LATAM,Top 1 - First Person American roulette,CONTENT,Betsson LATAM | Top 1 - First Person American roulette,Betsson LATAM | Top 1 - First Person American roulette,https://record.betsson.com/_p1EHTRI5UEPngqyJOFHJ_WNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPngqyJOFHJ_WNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
51,Inkabet,PE,es,COUNTRY,Casino lobby page,LOBBY,Inkabet PE | Casino lobby page,Inkabet PE | Casino lobby page,https://record.inkabet.pe/_p1EHTRI5UEM4wXYzsHHtsGNd7ZgqdRLk/1/,record.inkabet.pe,_p1EHTRI5UEM4wXYzsHHtsGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
52,Inkabet,PE,es,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Inkabet PE | Casino Welcome Offer,Inkabet PE | Casino Welcome Offer,https://record.inkabet.pe/_p1EHTRI5UEO_Fwtr355KbGNd7ZgqdRLk/1/,record.inkabet.pe,_p1EHTRI5UEO_Fwtr355KbGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
53,Inkabet,PE,es,COUNTRY,Sportsbook Welcome Offer,WELCOME_OFFER,Inkabet PE | Sportsbook Welcome Offer,Inkabet PE | Sportsbook Welcome Offer,https://record.inkabet.pe/_p1EHTRI5UEOZeUTRp6MYx2Nd7ZgqdRLk/1/,record.inkabet.pe,_p1EHTRI5UEOZeUTRp6MYx2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
54,Betsson,,es,LATAM,Casino Lobby,LOBBY,Betsson LATAM | Casino Lobby,Betsson LATAM | Casino Lobby,https://record.betsson.com/_p1EHTRI5UEMi26Fsr4FC0mNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEMi26Fsr4FC0mNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
55,NordicBet,SE,sv,COUNTRY,Casino Welcome Bonus,WELCOME_OFFER,NordicBet SV | Casino Welcome Bonus,NordicBet SV | Casino Welcome Bonus,https://record.nordicbet.com/_p1EHTRI5UEPIUsd2cv5SdWNd7ZgqdRLk/1/,record.nordicbet.com,_p1EHTRI5UEPIUsd2cv5SdWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
56,NordicBet,,en,ROW,ROW | Casino Welcome Offer,WELCOME_OFFER,NordicBet EN | ROW | Casino Welcome Offer,NordicBet EN | ROW | Casino Welcome Offer,https://record.nordicbet.com/_p1EHTRI5UEPRvim4u9A_I2Nd7ZgqdRLk/1/,record.nordicbet.com,_p1EHTRI5UEPRvim4u9A_I2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
57,Betsson,PE,es,COUNTRY,Casino Welcome Offer,WELCOME_OFFER,Betsson PE | Casino Welcome Offer,Betsson PE | Casino Welcome Offer,https://record.betsson.com/_p1EHTRI5UENWJv-piTzMMWNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UENWJv-piTzMMWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
58,Betsson,,en,EN,Live Casino Home,LOBBY,Betsson EN | Live Casino Home,Betsson EN | Live Casino Home,https://record.betsson.com/_p1EHTRI5UENmQewLZCKtvWNd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UENmQewLZCKtvWNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
59,Betsson,,es,LATAM,Casino Welcome Offer,WELCOME_OFFER,Betsson LATAM | Casino Welcome Offer,Betsson LATAM | Casino Welcome Offer,https://record.betsson.com/_p1EHTRI5UEPPjmj8zYpJR2Nd7ZgqdRLk/1/,record.betsson.com,_p1EHTRI5UEPPjmj8zYpJR2Nd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
60,Betsafe Baltics,LV,lv,COUNTRY,Registration page,REGISTRATION,Betsafe Baltics LV | Registration page,Betsafe Baltics LV | Registration page,https://record.betssongroupaffiliates.com/_p1EHTRI5UEP0eSuOMyVq0WNd7ZgqdRLk/1/,record.betssongroupaffiliates.com,_p1EHTRI5UEP0eSuOMyVq0WNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
